from_bus,to_bus,R1_pu,X1_pu,B1_pu,R0_pu,X0_pu,B0_pu
1,2,0.00431,0.01204,0.000035,0.010775,0.0301,0.0000175
2,3,0.00601,0.01677,0.000049,0.015025,0.041925,0.0000245
3,4,0.00316,0.00882,0.000026,0.0079,0.02205,0.000013
4,5,0.00896,0.02502,0.000073,0.0224,0.06255,0.0000365
5,6,0.00295,0.00824,0.000024,0.007375,0.0206,0.000012
6,7,0.0172,0.0212,0.000046,0.043,0.053,0.000023
7,8,0.0407,0.03053,0.000051,0.10175,0.076325,0.0000255
2,9,0.01706,0.02209,0.000043,0.04265,0.055225,0.0000215
1,10,0.0291,0.03768,0.000074,0.07275,0.0942,0.000037
10,11,0.02222,0.02877,0.000056,0.05555,0.071925,0.000028
11,12,0.04803,0.06218,0.000122,0.120075,0.15545,0.000061
11,13,0.03985,0.0516,0.000101,0.099625,0.129,0.0000505
13,14,0.0291,0.03768,0.000074,0.07275,0.0942,0.000037
13,15,0.03727,0.04593,0.0001,0.093175,0.114825,0.00005
15,16,0.02208,0.0272,0.000059,0.0552,0.068,0.0000295
16,17,0.02208,0.0272,0.000059,0.0552,0.068,0.0000295
